Country,1,2,3,4,5,6,7,8,9,10
France,13.8 %,3.5 %,4.1 %,3.1 %,15.6 %,4.4 %,6.3 %,14.6 %,8.9 %,25.8 %
Great Britain,20.0 %,6.2 %,7.2 %,5.4 %,20.4 %,11.5 %,8.0 %,9.1 %,4.6 %,7.7 %
Italy,38.6 %,5.1 %,7.9 %,7.2 %,18.4 %,11.0 %,4.1 %,4.2 %,1.3 %,2.0 %
Netherlands,20.1 %,2.7 %,5.1 %,4.4 %,15.5 %,9.3 %,14.2 %,9.8 %,5.5 %,13.5 %
Spain,17.1 %,4.6 %,4.1 %,4.6 %,21.4 %,10.4 %,10.3 %,8.5 %,4.0 %,14.8 %
United States,25.5 %,7.4 %,6.0 %,4.3 %,26.4 %,6.8 %,6.4 %,7.0 %,3.2 %,7.1 %
Canada,26.0 %,5.2 %,5.6 %,4.2 %,24.0 %,6.9 %,7.8 %,8.9 %,4.1 %,7.4 %
Japan,14.8 %,9.1 %,11.9 %,7.0 %,22.4 %,15.5 %,6.8 %,6.1 %,2.2 %,4.0 %
Mexico,54.5 %,6.5 %,4.0 %,3.2 %,11.8 %,3.7 %,3.6 %,3.9 %,2.4 %,6.5 %
South Africa,57.1 %,11.5 %,4.9 %,3.8 %,8.2 %,3.3 %,3.0 %,3.3 %,1.8 %,3.0 %
Australia,18.4 %,3.7 %,4.3 %,3.6 %,18.5 %,10.8 %,7.8 %,11.2 %,7.0 %,14.8 %
Norway,5.5 %,2.8 %,3.6 %,3.2 %,19.6 %,6.8 %,11.4 %,21.4 %,11.3 %,14.4 %
Sweden,2.3 %,1.2 %,3.9 %,1.7 %,9.2 %,7.0 %,9.8 %,15.9 %,12.3 %,36.6 %
Argentina,58.3 %,2.0 %,3.6 %,1.4 %,13.2 %,5.7 %,4.0 %,2.8 %,1.2 %,7.8 %
Finland,13.6 %,6.2 %,6.1 %,6.2 %,18.9 %,9.5 %,10.9 %,12.7 %,8.7 %,7.1 %
