Country,1,2,3,4,5,6,7,8,9,10
France,14.8 %,4.3 %,2.5 %,2.9 %,16.0 %,4.3 %,7.0 %,11.7 %,9.2 %,27.3 %
Great Britain,20.3 %,5.0 %,4.9 %,3.7 %,15.7 %,7.3 %,7.3 %,7.8 %,6.3 %,21.7 %
Italy,50.9 %,4.2 %,5.0 %,4.4 %,12.9 %,6.3 %,4.3 %,4.1 %,1.6 %,6.2 %
Netherlands,16.3 %,1.3 %,1.7 %,1.3 %,6.5 %,3.7 %,8.3 %,12.2 %,7.7 %,40.9 %
Spain,10.4 %,1.8 %,3.0 %,4.2 %,17.1 %,8.8 %,11.4 %,9.6 %,5.0 %,28.6 %
United States,32.5 %,4.0 %,4.8 %,3.5 %,24.0 %,4.6 %,4.9 %,3.7 %,3.2 %,14.8 %
Canada,20.6 %,3.2 %,3.2 %,3.5 %,23.5 %,5.6 %,5.0 %,8.2 %,5.0 %,22.3 %
Japan,24.2 %,6.7 %,7.2 %,4.6 %,15.4 %,14.7 %,5.7 %,8.6 %,3.9 %,9.1 %
Mexico,34.4 %,5.0 %,4.5 %,3.8 %,17.1 %,6.4 %,5.2 %,6.4 %,3.9 %,13.4 %
South Africa,48.5 %,12.1 %,6.1 %,5.0 %,11.7 %,5.0 %,4.0 %,2.7 %,2.0 %,3.0 %
Australia,23.0 %,3.1 %,3.5 %,4.2 %,17.2 %,7.5 %,5.3 %,8.3 %,5.9 %,21.9 %
Norway,6.4 %,3.0 %,2.0 %,2.1 %,12.3 %,2.1 %,4.0 %,11.6 %,11.9 %,44.6 %
Sweden,4.2 %,1.2 %,1.8 %,1.6 %,8.8 %,2.7 %,3.1 %,8.0 %,7.7 %,60.9 %
Argentina,33.4 %,1.2 %,2.9 %,1.4 %,15.3 %,5.3 %,5.4 %,6.9 %,2.6 %,25.4 %
Finland,20.2 %,5.3 %,5.1 %,3.0 %,12.1 %,5.2 %,5.5 %,9.7 %,10.3 %,23.6 %
South Korea,47.6 %,11.4 %,9.1 %,5.3 %,13.8 %,4.5 %,3.1 %,3.0 %,1.4 %,0.8 %
Poland,52.8 %,6.8 %,5.9 %,4.0 %,14.0 %,2.5 %,3.8 %,2.9 %,1.8 %,5.6 %
Switzerland,11.1 %,1.4 %,2.4 %,2.6 %,13.5 %,3.8 %,4.6 %,8.8 %,7.9 %,43.9 %
Brazil,31.8 %,6.7 %,5.9 %,4.9 %,24.2 %,4.7 %,4.1 %,5.6 %,2.5 %,9.6 %
Chile,28.0 %,5.0 %,3.6 %,5.7 %,18.5 %,7.5 %,6.4 %,8.0 %,4.9 %,12.4 %
India,63.7 %,-,-,12.8 %,-,9.6 %,-,4.6 %,-,9.3 %
Slovenia,-,-,-,-,5.0 %,14.3 %,8.5 %,11.5 %,11.5 %,49.2 %
Bulgaria,33.3 %,9.1 %,7.5 %,5.5 %,14.5 %,7.9 %,5.1 %,5.5 %,3.1 %,8.5 %
Romania,73.0 %,5.2 %,3.9 %,2.8 %,6.6 %,1.6 %,1.8 %,1.8 %,1.2 %,2.1 %
China,78.1 %,9.6 %,3.7 %,1.9 %,2.4 %,1.3 %,0.6 %,0.4 %,0.4 %,1.5 %
Taiwan,39.7 %,4.8 %,6.5 %,3.7 %,19.5 %,7.3 %,4.8 %,6.4 %,2.0 %,5.3 %
Turkey,73.2 %,9.2 %,4.6 %,4.8 %,4.8 %,0.9 %,1.0 %,0.8 %,0.1 %,0.5 %
Ukraine,57.2 %,7.8 %,6.8 %,5.7 %,11.1 %,5.9 %,2.2 %,1.7 %,0.7 %,1.0 %
Russian Federation,66.4 %,4.6 %,4.3 %,3.3 %,9.9 %,2.4 %,1.9 %,1.8 %,0.8 %,4.5 %
Uruguay,18.1 %,2.4 %,2.5 %,3.5 %,27.6 %,9.5 %,7.0 %,6.2 %,4.2 %,19.0 %
Ghana,73.3 %,12.6 %,4.2 %,2.2 %,2.3 %,0.9 %,0.8 %,1.1 %,1.5 %,1.1 %
Moldova,62.3 %,8.8 %,5.9 %,4.4 %,7.7 %,4.0 %,2.3 %,2.5 %,1.0 %,1.0 %
Georgia,91.3 %,5.1 %,2.0 %,0.6 %,0.8 %,0.1 %,-,-,-,0.1 %
Thailand,22.8 %,23.3 %,17.3 %,12.6 %,17.1 %,2.5 %,1.5 %,1.1 %,0.7 %,1.2 %
Indonesia,89.4 %,3.8 %,1.7 %,0.9 %,1.4 %,0.6 %,0.5 %,0.6 %,0.7 %,0.5 %
Viet Nam,71.4 %,8.9 %,3.3 %,3.2 %,10.3 %,1.1 %,0.3 %,0.7 %,0.3 %,0.6 %
Colombia,45.6 %,6.3 %,4.4 %,3.8 %,13.0 %,5.3 %,5.2 %,5.6 %,2.6 %,8.4 %
Serbia,36.4 %,5.1 %,5.6 %,3.6 %,9.3 %,5.6 %,5.7 %,6.0 %,7.1 %,15.6 %
New Zealand,22.4 %,4.1 %,6.5 %,4.1 %,14.9 %,9.8 %,5.6 %,7.7 %,6.8 %,18.1 %
Iran,82.3 %,8.2 %,2.8 %,1.3 %,1.4 %,0.5 %,0.8 %,0.9 %,0.5 %,1.3 %
Jordan,99.6 %,0.2 %,-,-,0.1 %,-,-,-,-,0.2 %
Cyprus,37.5 %,6.2 %,9.2 %,9.6 %,7.5 %,9.2 %,3.9 %,6.0 %,3.7 %,7.0 %
Guatemala,46.1 %,11.0 %,6.7 %,6.3 %,10.5 %,5.6 %,4.3 %,3.9 %,2.1 %,3.3 %
Hong Kong,39.1 %,6.5 %,9.9 %,6.4 %,13.4 %,9.1 %,4.4 %,4.3 %,0.8 %,6.1 %
Trinidad and Tobago,73.0 %,4.5 %,3.1 %,4.6 %,9.8 %,2.1 %,1.1 %,0.7 %,0.4 %,0.7 %
Andorra,7.5 %,1.0 %,1.6 %,0.6 %,10.7 %,2.8 %,3.4 %,6.5 %,5.6 %,60.3 %
Malaysia,43.0 %,11.1 %,8.8 %,8.5 %,12.0 %,8.2 %,4.1 %,2.0 %,1.5 %,0.9 %
Burkina Faso,79.3 %,6.9 %,2.3 %,2.6 %,3.1 %,1.0 %,0.6 %,0.7 %,0.4 %,3.0 %
Ethiopia,75.6 %,16.5 %,3.5 %,0.3 %,1.5 %,0.3 %,0.2 %,0.5 %,0.1 %,1.5 %
Mali,63.0 %,6.9 %,3.0 %,2.5 %,6.2 %,2.1 %,2.8 %,2.9 %,1.3 %,9.3 %
Rwanda,76.1 %,14.3 %,4.0 %,1.0 %,1.2 %,0.9 %,0.7 %,0.5 %,0.9 %,0.4 %
Zambia,58.6 %,8.9 %,7.0 %,5.4 %,5.4 %,4.8 %,2.8 %,1.3 %,1.2 %,4.7 %
Germany,10.5 %,3.5 %,5.7 %,5.4 %,14.6 %,9.2 %,7.7 %,9.2 %,7.1 %,27.1 %
