Country,1,2,3,4,5,6,7,8,9,10
France,41.2 %,10.4 %,7.5 %,6.1 %,16.0 %,3.2 %,6.1 %,3.6 %,1.9 %,3.8 %
Great Britain,30.4 %,10.3 %,9.0 %,6.9 %,15.7 %,10.3 %,5.1 %,5.2 %,1.5 %,5.6 %
Italy,57.8 %,9.0 %,7.5 %,4.9 %,10.6 %,5.0 %,2.6 %,1.7 %,0.3 %,0.8 %
Netherlands,19.8 %,4.3 %,4.1 %,3.8 %,17.0 %,8.8 %,11.2 %,9.5 %,4.9 %,16.5 %
Spain,22.5 %,5.3 %,6.7 %,8.7 %,24.9 %,8.4 %,7.5 %,4.5 %,1.8 %,9.6 %
United States,43.2 %,7.6 %,7.6 %,6.3 %,19.1 %,5.0 %,4.0 %,2.8 %,1.4 %,3.0 %
Canada,38.9 %,10.5 %,9.2 %,6.8 %,18.1 %,6.0 %,3.9 %,3.5 %,0.9 %,2.2 %
Japan,66.5 %,9.3 %,6.9 %,3.8 %,5.6 %,4.3 %,1.7 %,0.9 %,0.5 %,0.5 %
Mexico,41.6 %,6.0 %,4.8 %,4.8 %,14.8 %,6.1 %,4.1 %,6.5 %,2.5 %,8.8 %
South Africa,56.8 %,13.3 %,6.5 %,4.0 %,7.0 %,3.0 %,3.0 %,2.3 %,1.3 %,2.8 %
Australia,25.1 %,5.1 %,7.4 %,6.4 %,19.8 %,11.7 %,6.6 %,6.4 %,3.2 %,8.4 %
Norway,21.1 %,14.3 %,10.8 %,7.1 %,20.6 %,6.2 %,6.6 %,7.4 %,2.2 %,3.5 %
Sweden,40.2 %,14.7 %,11.7 %,5.3 %,12.1 %,5.5 %,2.7 %,3.1 %,1.3 %,3.3 %
Argentina,43.7 %,1.8 %,4.3 %,2.2 %,17.8 %,5.6 %,4.0 %,4.8 %,1.7 %,14.1 %
Finland,39.4 %,14.4 %,10.3 %,5.9 %,12.0 %,6.6 %,4.5 %,4.2 %,1.1 %,1.6 %
South Korea,51.3 %,12.2 %,10.1 %,6.1 %,11.5 %,3.8 %,1.7 %,2.1 %,0.5 %,0.6 %
Poland,57.7 %,9.4 %,7.1 %,4.0 %,12.1 %,2.6 %,2.8 %,1.9 %,0.5 %,2.0 %
Switzerland,17.8 %,5.8 %,9.9 %,7.5 %,17.7 %,8.2 %,6.9 %,10.3 %,5.1 %,10.8 %
